0.000000 0.000000  1.000000 0.500000
0.010000 0.009950  0.990099 0.587761
0.020000 0.019803  0.980392 0.674848
0.030000 0.029559  0.970874 0.761270
0.040000 0.039221  0.961538 0.847033
0.050000 0.048790  0.952381 0.932146
0.060000 0.058269  0.943396 1.016616
0.070000 0.067659  0.934579 1.100451
0.080000 0.076961  0.925926 1.183657
0.090000 0.086178  0.917431 1.266243
0.100000 0.095310  0.909091 1.348216
0.110000 0.104360  0.900901 1.429583
0.120000 0.113329  0.892857 1.510351
0.130000 0.122218  0.884956 1.590528
0.140000 0.131028  0.877193 1.670121
0.150000 0.139762  0.869565 1.749136
0.160000 0.148420  0.862069 1.827582
0.170000 0.157004  0.854701 1.905464
0.180000 0.165514  0.847458 1.982789
0.190000 0.173953  0.840336 2.059564
0.200000 0.182322  0.833333 2.135797
0.210000 0.190620  0.826446 2.211492
0.220000 0.198851  0.819672 2.286658
0.230000 0.207014  0.813008 2.361300
0.240000 0.215111  0.806452 2.435425
0.250000 0.223144  0.800000 2.509038
0.260000 0.231112  0.793651 2.582147
0.270000 0.239017  0.787402 2.654756
0.280000 0.246860  0.781250 2.726873
0.290000 0.254642  0.775194 2.798503
0.300000 0.262364  0.769231 2.869651
0.310000 0.270027  0.763359 2.940325
0.320000 0.277632  0.757576 3.010528
0.330000 0.285179  0.751880 3.080267
0.340000 0.292670  0.746269 3.149547
0.350000 0.300105  0.740741 3.218374
0.360000 0.307485  0.735294 3.286754
0.370000 0.314811  0.729927 3.354690
0.380000 0.322083  0.724638 3.422189
0.390000 0.329304  0.719424 3.489256
0.400000 0.336472  0.714286 3.555895
0.410000 0.343590  0.709220 3.622111
0.420000 0.350657  0.704225 3.687911
0.430000 0.357674  0.699301 3.753297
0.440000 0.364643  0.694444 3.818275
0.450000 0.371564  0.689655 3.882851
0.460000 0.378436  0.684932 3.947027
0.470000 0.385262  0.680272 4.010809
0.480000 0.392042  0.675676 4.074202
0.490000 0.398776  0.671141 4.137209
0.500000 0.405465  0.666667 4.199835
0.510000 0.412110  0.662252 4.262084
0.520000 0.418710  0.657895 4.323961
0.530000 0.425268  0.653595 4.385470
0.540000 0.431782  0.649351 4.446614
0.550000 0.438255  0.645161 4.507397
0.560000 0.444686  0.641026 4.567825
0.570000 0.451076  0.636943 4.627900
0.580000 0.457425  0.632911 4.687626
0.590000 0.463734  0.628931 4.747008
0.600000 0.470004  0.625000 4.806048
0.610000 0.476234  0.621118 4.864751
